"Amount_2019_weekly","confirmed.add_weekly","residential_mob_weekly","Urbanization.rate","WEI"
11.9164916846637,324.928571428572,-0.142857142857143,0.59,-9.12
11.7588772520707,170.214285714285,0.714285714285714,0.562,-9.12
13.1598741671088,378.928571428572,1.14285714285714,0.898,-9.12
15.7786287465924,1900,1.28571428571429,0.95,-9.12
13.9371825130093,319.357142857142,1.42857142857143,0.862,-9.12
13.7848355722674,250,1,0.88,-9.12
13.3076021390632,85.0714285714286,2.14285714285714,1,-9.12
11.6405960112134,100.285714285714,0.142857142857143,0.833,-9.12
15.2514435517738,997.42857142857,0.714285714285714,0.912,-9.12
12.9021245547068,750.571428571428,0.857142857142857,0.751,-9.12
11.9781973636432,347,-0.285714285714286,0.64,-9.12
11.6535961941493,37.2142857142857,0,0.706,-9.12
14.8109606948117,1107.07142857142,0.142857142857143,0.885,-9.12
13.4159072568469,468.142857142857,0,0.724,-9.12
11.8503926966237,145.5,-0.142857142857143,0.742,-9.12
12.9230699284677,162.642857142857,0.285714285714286,0.584,-9.12
13.3100790111626,432.785714285714,0.142857142857143,0.732,-9.12
15.1233268778421,648.214285714286,2.42857142857143,0.92,-9.12
13.9472547568841,659.285714285714,0.714285714285714,0.872,-9.12
12.7182581492402,31.4285714285715,1.28571428571429,0.387,-9.12
14.2169969901996,605.071428571428,0.571428571428571,0.746,-9.12
12.7453816299348,372.571428571429,0.571428571428571,0.733,-9.12
13.3292572220122,202.214285714285,-0.285714285714286,0.704,-9.12
12.0893841889071,253,0.285714285714286,0.493,-9.12
11.4847408697707,7.28571428571428,0.285714285714286,0.559,-9.12
13.3966687034292,601.928571428572,0.285714285714286,0.661,-9.12
11.9568816098262,166.428571428572,0.285714285714286,0.731,-9.12
12.4690574399566,50,1,0.603,-9.12
13.5011561957967,995.785714285713,1.14285714285714,0.947,-9.12
11.7953161061022,134.714285714286,0.428571428571429,0.774,-9.12
13.0103210940874,136.857142857143,0.857142857142857,0.942,-9.12
15.2225581165042,1865.71428571429,2.42857142857143,0.879,-9.12
14.3757451951893,556,0.285714285714286,0.779,-9.12
12.4834361627193,103.428571428572,0.571428571428571,0.662,-9.12
13.2586084850712,62.7142857142858,-0.142857142857143,0.81,-9.12
14.1406825240031,784.357142857143,0.571428571428571,0.787,-9.12
12.711431441673,81.5,1.71428571428571,0.907,-9.12
12.8359756303805,182.5,-0.285714285714286,0.663,-9.12
13.5095088656855,382.071428571428,0.571428571428571,0.664,-9.12
15.0363732799143,1161.14285714286,0.571428571428571,0.847,-9.12
13.0097539079596,159.285714285715,0.714285714285714,0.906,-9.12
13.9115574712489,602.857142857143,1.28571428571429,0.755,-9.12
12.1352672446487,6.71428571428571,1,0.389,-9.12
14.0474460189258,295.142857142858,1.14285714285714,0.84,-9.12
13.1091936158296,308.285714285714,0,0.702,-9.12
11.0237889249501,32.4285714285714,0.571428571428571,0.487,-9.12
11.9164916846637,324.928571428572,6.85714285714286,0.59,-9.12
11.7588772520707,170.214285714285,5.42857142857143,0.562,-9.12
13.1598741671088,378.928571428572,9.57142857142857,0.898,-9.12
15.7786287465924,1900,11.7142857142857,0.95,-9.12
13.9371825130093,319.357142857142,7.71428571428571,0.862,-9.12
13.7848355722674,250,9.28571428571428,0.88,-9.12
13.3076021390632,85.0714285714286,16,1,-9.12
11.6405960112134,100.285714285714,8.57142857142857,0.833,-9.12
15.2514435517738,997.42857142857,9.42857142857143,0.912,-9.12
12.9021245547068,750.571428571428,8.85714285714286,0.751,-9.12
11.9781973636432,347,5.28571428571429,0.64,-9.12
11.6535961941493,37.2142857142857,3,0.706,-9.12
14.8109606948117,1107.07142857142,8.28571428571429,0.885,-9.12
13.4159072568469,468.142857142857,5.57142857142857,0.724,-9.12
11.8503926966237,145.5,5.14285714285714,0.742,-9.12
12.9230699284677,162.642857142857,6,0.584,-9.12
13.3100790111626,432.785714285714,7.85714285714286,0.732,-9.12
15.1233268778421,648.214285714286,11.2857142857143,0.92,-9.12
13.9472547568841,659.285714285714,11.5714285714286,0.872,-9.12
12.7182581492402,31.4285714285715,5,0.387,-9.12
14.2169969901996,605.071428571428,6,0.746,-9.12
12.7453816299348,372.571428571429,7.85714285714286,0.733,-9.12
13.3292572220122,202.214285714285,5.42857142857143,0.704,-9.12
12.0893841889071,253,6,0.493,-9.12
11.4847408697707,7.28571428571428,2,0.559,-9.12
13.3966687034292,601.928571428572,7.71428571428571,0.661,-9.12
11.9568816098262,166.428571428572,6,0.731,-9.12
12.4690574399566,50,7.71428571428571,0.603,-9.12
13.5011561957967,995.785714285713,11.8571428571429,0.947,-9.12
11.7953161061022,134.714285714286,8.71428571428571,0.774,-9.12
13.0103210940874,136.857142857143,9.14285714285714,0.942,-9.12
15.2225581165042,1865.71428571429,10.8571428571429,0.879,-9.12
14.3757451951893,556,6.14285714285714,0.779,-9.12
12.4834361627193,103.428571428572,5,0.662,-9.12
13.2586084850712,62.7142857142858,7.14285714285714,0.81,-9.12
14.1406825240031,784.357142857143,8,0.787,-9.12
12.711431441673,81.5,8,0.907,-9.12
12.8359756303805,182.5,6.57142857142857,0.663,-9.12
13.5095088656855,382.071428571428,6,0.664,-9.12
15.0363732799143,1161.14285714286,9.57142857142857,0.847,-9.12
13.0097539079596,159.285714285715,7.14285714285714,0.906,-9.12
13.9115574712489,602.857142857143,9.57142857142857,0.755,-9.12
12.1352672446487,6.71428571428571,7.42857142857143,0.389,-9.12
14.0474460189258,295.142857142858,9,0.84,-9.12
13.1091936158296,308.285714285714,6.71428571428571,0.702,-9.12
11.0237889249501,32.4285714285714,4.71428571428571,0.487,-9.12
11.9164916846637,324.928571428572,8.14285714285714,0.59,-9.12
11.7588772520707,170.214285714285,6.42857142857143,0.562,-9.12
13.1598741671088,378.928571428572,11.5714285714286,0.898,-9.12
15.7786287465924,1900,15.4285714285714,0.95,-9.12
13.9371825130093,319.357142857142,12,0.862,-9.12
13.7848355722674,250,13.4285714285714,0.88,-9.12
13.3076021390632,85.0714285714286,19,1,-9.12
11.6405960112134,100.285714285714,11.4285714285714,0.833,-9.12
15.2514435517738,997.42857142857,11.2857142857143,0.912,-9.12
12.9021245547068,750.571428571428,10.7142857142857,0.751,-9.12
11.9781973636432,347,9.28571428571429,0.64,-9.12
11.6535961941493,37.2142857142857,5.57142857142857,0.706,-9.12
14.8109606948117,1107.07142857142,13.8571428571429,0.885,-9.12
13.4159072568469,468.142857142857,9.42857142857143,0.724,-9.12
11.8503926966237,145.5,8,0.742,-9.12
12.9230699284677,162.642857142857,9.28571428571429,0.584,-9.12
13.3100790111626,432.785714285714,9,0.732,-9.12
15.1233268778421,648.214285714286,15.8571428571429,0.92,-9.12
13.9472547568841,659.285714285714,14.4285714285714,0.872,-9.12
12.7182581492402,31.4285714285715,8.57142857142857,0.387,-9.12
14.2169969901996,605.071428571428,12.2857142857143,0.746,-9.12
12.7453816299348,372.571428571429,12.5714285714286,0.733,-9.12
13.3292572220122,202.214285714285,8.28571428571428,0.704,-9.12
12.0893841889071,253,7.42857142857143,0.493,-9.12
11.4847408697707,7.28571428571428,4.28571428571429,0.559,-9.12
13.3966687034292,601.928571428572,9,0.661,-9.12
11.9568816098262,166.428571428572,10.4285714285714,0.731,-9.12
12.4690574399566,50,12,0.603,-9.12
13.5011561957967,995.785714285713,16.4285714285714,0.947,-9.12
11.7953161061022,134.714285714286,9.85714285714286,0.774,-9.12
13.0103210940874,136.857142857143,13.4285714285714,0.942,-9.12
15.2225581165042,1865.71428571429,15.2857142857143,0.879,-9.12
14.3757451951893,556,10.1428571428571,0.779,-9.12
12.4834361627193,103.428571428572,7.14285714285714,0.662,-9.12
13.2586084850712,62.7142857142858,9.85714285714286,0.81,-9.12
14.1406825240031,784.357142857143,13.1428571428571,0.787,-9.12
12.711431441673,81.5,13.4285714285714,0.907,-9.12
12.8359756303805,182.5,8,0.663,-9.12
13.5095088656855,382.071428571428,8.28571428571428,0.664,-9.12
15.0363732799143,1161.14285714286,12.1428571428571,0.847,-9.12
13.0097539079596,159.285714285715,9.57142857142857,0.906,-9.12
13.9115574712489,602.857142857143,11.8571428571429,0.755,-9.12
12.1352672446487,6.71428571428571,10.7142857142857,0.389,-9.12
14.0474460189258,295.142857142858,12.1428571428571,0.84,-9.12
13.1091936158296,308.285714285714,10.7142857142857,0.702,-9.12
11.0237889249501,32.4285714285714,7.42857142857143,0.487,-9.12
11.9164916846637,324.928571428572,11,0.59,-9.12
11.7588772520707,170.214285714285,8.85714285714286,0.562,-9.12
13.1598741671088,378.928571428572,13.2857142857143,0.898,-9.12
15.7786287465924,1900,17.4285714285714,0.95,-9.12
13.9371825130093,319.357142857142,14.7142857142857,0.862,-9.12
13.7848355722674,250,17.2857142857143,0.88,-9.12
13.3076021390632,85.0714285714286,23,1,-9.12
11.6405960112134,100.285714285714,15.7142857142857,0.833,-9.12
15.2514435517738,997.42857142857,15.1428571428571,0.912,-9.12
12.9021245547068,750.571428571428,13.5714285714286,0.751,-9.12
11.9781973636432,347,12.2857142857143,0.64,-9.12
11.6535961941493,37.2142857142857,8.85714285714286,0.706,-9.12
14.8109606948117,1107.07142857142,16.2857142857143,0.885,-9.12
13.4159072568469,468.142857142857,13.2857142857143,0.724,-9.12
11.8503926966237,145.5,11.7142857142857,0.742,-9.12
12.9230699284677,162.642857142857,12.5714285714286,0.584,-9.12
13.3100790111626,432.785714285714,12.5714285714286,0.732,-9.12
15.1233268778421,648.214285714286,20,0.92,-9.12
13.9472547568841,659.285714285714,19.5714285714286,0.872,-9.12
12.7182581492402,31.4285714285715,13.4285714285714,0.387,-9.12
14.2169969901996,605.071428571428,17.1428571428571,0.746,-9.12
