"Amount_2019_weekly","confirmed.add_weekly","residential_mob_weekly","Urbanization.rate","WEI"
12.1331377926951,0,-0.142857142857143,0.59,1.455
11.7478085800174,0,0.714285714285714,0.562,1.455
13.0759156442998,0.285714285714286,1.14285714285714,0.898,1.455
15.7945679736544,6.64285714285717,1.28571428571429,0.95,1.455
13.858591410497,0.57142857142857,1.42857142857143,0.862,1.455
13.8653682597317,0,1,0.88,1.455
13.4426743855209,0,2.14285714285714,1,1.455
11.7754475503899,0,0.142857142857143,0.833,1.455
15.1141718027508,0.714285714285715,0.714285714285714,0.912,1.455
13.010486219881,0.357142857142857,0.857142857142857,0.751,1.455
11.9704534739572,0,-0.285714285714286,0.64,1.455
11.5304209020766,0,0,0.706,1.455
14.9197284255009,0.428571428571428,0.142857142857143,0.885,1.455
13.4611217862921,0.142857142857143,0,0.724,1.455
11.8628550925275,0.0714285714285715,-0.142857142857143,0.742,1.455
13.1392154667857,0.0714285714285715,0.285714285714286,0.584,1.455
13.356892267023,0,0.142857142857143,0.732,1.455
15.2207184786577,1.57142857142857,2.42857142857143,0.92,1.455
13.9938478889754,0.357142857142857,0.714285714285714,0.872,1.455
12.722024753393,0,1.28571428571429,0.387,1.455
14.3258743402408,0,0.571428571428571,0.746,1.455
12.8673737206353,0.0714285714285715,0.571428571428571,0.733,1.455
13.4026929704308,0.0714285714285715,-0.285714285714286,0.704,1.455
12.1401356010097,0,0.285714285714286,0.493,1.455
11.4858664505369,0,0.285714285714286,0.559,1.455
13.525545826227,0.142857142857143,0.285714285714286,0.661,1.455
11.9798132235001,0.0714285714285715,0.285714285714286,0.731,1.455
12.4819797551212,0.214285714285714,1,0.603,1.455
13.5671797163384,0.357142857142857,1.14285714285714,0.947,1.455
11.8965217506705,0,0.428571428571429,0.774,1.455
13.0391261701507,0.285714285714285,0.857142857142857,0.942,1.455
15.3080151570186,7.57142857142855,2.42857142857143,0.879,1.455
14.4897748195238,0,0.285714285714286,0.779,1.455
12.5363357853403,0.0714285714285715,0.571428571428571,0.662,1.455
13.3131922904708,1,-0.142857142857143,0.81,1.455
14.2124280120746,0.428571428571428,0.571428571428571,0.787,1.455
12.7712426057605,0.214285714285714,1.71428571428571,0.907,1.455
13.0781534258286,0.142857142857143,-0.285714285714286,0.663,1.455
13.6057902019965,0.214285714285714,0.571428571428571,0.664,1.455
15.0603329885658,0.785714285714285,0.571428571428571,0.847,1.455
13.0468303447957,0.0714285714285715,0.714285714285714,0.906,1.455
14.0240493372462,0.142857142857143,1.28571428571429,0.755,1.455
11.6916211046361,0.0714285714285715,1,0.389,1.455
14.089408982795,8.64285714285717,1.14285714285714,0.84,1.455
13.1433146995998,0,0,0.702,1.455
11.0958967046613,0,0.571428571428571,0.487,1.455
12.1331377926951,0,6.85714285714286,0.59,1.455
11.7478085800174,0,5.42857142857143,0.562,1.455
13.0759156442998,0.285714285714286,9.57142857142857,0.898,1.455
15.7945679736544,6.64285714285717,11.7142857142857,0.95,1.455
13.858591410497,0.57142857142857,7.71428571428571,0.862,1.455
13.8653682597317,0,9.28571428571428,0.88,1.455
13.4426743855209,0,16,1,1.455
11.7754475503899,0,8.57142857142857,0.833,1.455
15.1141718027508,0.714285714285715,9.42857142857143,0.912,1.455
13.010486219881,0.357142857142857,8.85714285714286,0.751,1.455
11.9704534739572,0,5.28571428571429,0.64,1.455
11.5304209020766,0,3,0.706,1.455
14.9197284255009,0.428571428571428,8.28571428571429,0.885,1.455
13.4611217862921,0.142857142857143,5.57142857142857,0.724,1.455
11.8628550925275,0.0714285714285715,5.14285714285714,0.742,1.455
13.1392154667857,0.0714285714285715,6,0.584,1.455
13.356892267023,0,7.85714285714286,0.732,1.455
15.2207184786577,1.57142857142857,11.2857142857143,0.92,1.455
13.9938478889754,0.357142857142857,11.5714285714286,0.872,1.455
12.722024753393,0,5,0.387,1.455
14.3258743402408,0,6,0.746,1.455
12.8673737206353,0.0714285714285715,7.85714285714286,0.733,1.455
13.4026929704308,0.0714285714285715,5.42857142857143,0.704,1.455
12.1401356010097,0,6,0.493,1.455
11.4858664505369,0,2,0.559,1.455
13.525545826227,0.142857142857143,7.71428571428571,0.661,1.455
11.9798132235001,0.0714285714285715,6,0.731,1.455
12.4819797551212,0.214285714285714,7.71428571428571,0.603,1.455
13.5671797163384,0.357142857142857,11.8571428571429,0.947,1.455
11.8965217506705,0,8.71428571428571,0.774,1.455
13.0391261701507,0.285714285714285,9.14285714285714,0.942,1.455
15.3080151570186,7.57142857142855,10.8571428571429,0.879,1.455
14.4897748195238,0,6.14285714285714,0.779,1.455
12.5363357853403,0.0714285714285715,5,0.662,1.455
13.3131922904708,1,7.14285714285714,0.81,1.455
14.2124280120746,0.428571428571428,8,0.787,1.455
12.7712426057605,0.214285714285714,8,0.907,1.455
13.0781534258286,0.142857142857143,6.57142857142857,0.663,1.455
13.6057902019965,0.214285714285714,6,0.664,1.455
15.0603329885658,0.785714285714285,9.57142857142857,0.847,1.455
13.0468303447957,0.0714285714285715,7.14285714285714,0.906,1.455
14.0240493372462,0.142857142857143,9.57142857142857,0.755,1.455
11.6916211046361,0.0714285714285715,7.42857142857143,0.389,1.455
14.089408982795,8.64285714285717,9,0.84,1.455
13.1433146995998,0,6.71428571428571,0.702,1.455
11.0958967046613,0,4.71428571428571,0.487,1.455
12.1331377926951,0,8.14285714285714,0.59,1.455
11.7478085800174,0,6.42857142857143,0.562,1.455
13.0759156442998,0.285714285714286,11.5714285714286,0.898,1.455
15.7945679736544,6.64285714285717,15.4285714285714,0.95,1.455
13.858591410497,0.57142857142857,12,0.862,1.455
13.8653682597317,0,13.4285714285714,0.88,1.455
13.4426743855209,0,19,1,1.455
11.7754475503899,0,11.4285714285714,0.833,1.455
15.1141718027508,0.714285714285715,11.2857142857143,0.912,1.455
13.010486219881,0.357142857142857,10.7142857142857,0.751,1.455
11.9704534739572,0,9.28571428571429,0.64,1.455
11.5304209020766,0,5.57142857142857,0.706,1.455
14.9197284255009,0.428571428571428,13.8571428571429,0.885,1.455
13.4611217862921,0.142857142857143,9.42857142857143,0.724,1.455
11.8628550925275,0.0714285714285715,8,0.742,1.455
13.1392154667857,0.0714285714285715,9.28571428571429,0.584,1.455
13.356892267023,0,9,0.732,1.455
15.2207184786577,1.57142857142857,15.8571428571429,0.92,1.455
13.9938478889754,0.357142857142857,14.4285714285714,0.872,1.455
12.722024753393,0,8.57142857142857,0.387,1.455
14.3258743402408,0,12.2857142857143,0.746,1.455
12.8673737206353,0.0714285714285715,12.5714285714286,0.733,1.455
13.4026929704308,0.0714285714285715,8.28571428571428,0.704,1.455
12.1401356010097,0,7.42857142857143,0.493,1.455
11.4858664505369,0,4.28571428571429,0.559,1.455
13.525545826227,0.142857142857143,9,0.661,1.455
11.9798132235001,0.0714285714285715,10.4285714285714,0.731,1.455
12.4819797551212,0.214285714285714,12,0.603,1.455
13.5671797163384,0.357142857142857,16.4285714285714,0.947,1.455
11.8965217506705,0,9.85714285714286,0.774,1.455
