Week,State,Sum of Amount_Previous_year,Sum of dine_in_Previous_year
3/2/20,VT,901985.13,826310.61
3/2/20,WA,8098545.61,7420100.7
3/2/20,WI,3098089.77,2801499.14
3/2/20,WV,417041.78,281147.85
3/9/20,AL,1111073.17,1022289.12
3/9/20,AR,895730.12,701605.52
3/9/20,AZ,3691888.13,3425327.33
3/9/20,CA,49710153.48,39970801.31
3/9/20,CO,7592999.21,6529106.7
3/9/20,CT,6574711.54,5487099.93
3/9/20,DC,4744367.42,4308382.38
3/9/20,DE,810178.18,676526.29
3/9/20,FL,29043937.62,25445058.88
3/9/20,GA,3080877.03,2662576.07
3/9/20,IA,1045863.32,923441.13
3/9/20,ID,703999.67,665860.4
3/9/20,IL,20595316.41,18098527.9
3/9/20,IN,4636170.99,4055309.07
3/9/20,KS,872698.34,744685.17
3/9/20,KY,3111471.6,2826471.32
3/9/20,LA,4201276.68,3888910.47
3/9/20,MA,25940399.96,22034742.83
3/9/20,MD,7943273.17,6724713.65
3/9/20,ME,2133827.01,1819009.47
3/9/20,MI,10307113.41,8591472.17
3/9/20,MN,2348429.28,2102922.43
3/9/20,MO,4478644.68,3907271.02
3/9/20,MS,1240768.32,1173944.69
3/9/20,MT,694900.3,638979.06
3/9/20,NC,5043670.16,4378648.05
3/9/20,NE,986505.28,880664.59
3/9/20,NH,1652569.35,1314685.4
3/9/20,NJ,5111932.36,4017357.12
3/9/20,NM,948369.97,845638.32
3/9/20,NV,3306600,2873574.32
3/9/20,NY,28362587.75,23509246.3
3/9/20,OH,12332765.65,9847870.85
3/9/20,OK,1911537.21,1554268.27
3/9/20,OR,3944014.94,3565516.97
3/9/20,PA,9748085.68,8463839.09
3/9/20,RI,2429534.04,2149631.73
3/9/20,SC,3099699.54,2816549.06
3/9/20,TN,5333290.04,4870834.36
3/9/20,TX,25977066.48,23062835.15
3/9/20,UT,2953350.91,2487495.42
3/9/20,VA,7890388.04,7084965.99
3/9/20,VT,902590.27,827113.5
3/9/20,WA,8453914.54,7757518.84
3/9/20,WI,3320112.81,3039583.1
3/9/20,WV,446600.8,306162.98
3/16/20,AL,1073672.54,982448.94
