"State","Date","Date.Week","Amount_2019_weekly","Amount_2020_weekly","Dine_In_2019_weekly","Dine_In_2020_weekly","Off_Prem_2019_weekly","Off_Prem_2020_weekly","Dine_In_2020_weekly_pct","Off_Prem_2020_weekly_pct","Province_State","confirmed","deaths","population","confirmed.add_weekly","deaths.add_weekly","recreation_mob_weekly","residential_mob_weekly","Density","Urbanization.rate","DJUSRU","DJUSRU.t1","DJUSRU.t2","DJUSRU.t3","DJUSRU.t4","DJUSRU.t5","DJUSRU.t6"
"AL",2020-04-27,2020-04-26,176570.321428571,49030.8285714286,166154.651428571,20156.9671428571,10415.67,28873.8614285714,0.41110802591256,0.58889197408744,"Alabama",6539,228,4903185,209.571428571429,10.1428571428571,-19.7142857142857,11,96.9221,0.59,1733.53,1685.4,1647.63,1604.6,1448.35,1441.38,1301.34
"AL",2020-05-04,2020-05-03,157959.572857143,52659.4614285714,148651.412857143,22342.9657142857,9308.16,30316.4957142857,0.424291572837148,0.575708427162852,"Alabama",8112,298,4903185,285.857142857143,14.7142857142857,-15,10.1428571428571,96.9221,0.59,1686.93,1733.53,1685.4,1647.63,1604.6,1448.35,1441.38
"AL",2020-05-11,2020-05-10,162458.65,80249.5957142857,149431.344285714,53215.5142857143,13027.3057142857,27034.0814285714,0.66312501405214,0.33687498594786,"Alabama",10164,403,4903185,268.857142857143,13.5714285714286,-11.5714285714286,9,96.9221,0.59,1675.93,1686.93,1733.53,1685.4,1647.63,1604.6,1448.35
"AL",2020-05-18,2020-05-17,165336.752857143,86271.7457142857,153239.404285714,61948.92,12097.3485714286,24322.8257142857,0.718067305664152,0.281932694335848,"Alabama",12086,489,4903185,386.714285714286,9,-8.28571428571429,8.14285714285714,96.9221,0.59,1747.03,1675.93,1686.93,1733.53,1685.4,1647.63,1604.6
"AL",2020-05-25,2020-05-24,149085.805714286,95478.9157142857,136591.615714286,72379.9485714286,12494.19,23098.9671428571,0.758072586287225,0.241927413712775,"Alabama",14986,566,4903185,496.285714285714,11.2857142857143,-10.8571428571429,9.28571428571428,96.9221,0.59,1776.37,1747.03,1675.93,1686.93,1733.53,1685.4,1647.63
"AL",2020-06-01,2020-05-31,163361.688571429,95709.5685714286,150859.841428571,74169.3871428571,12501.8471428571,21540.1814285714,0.774942236705457,0.225057763294543,"Alabama",18630,646,4903185,364,8.85714285714286,-6.57142857142857,7.42857142857143,96.9221,0.59,1830.86,1776.37,1747.03,1675.93,1686.93,1733.53,1685.4
"AL",2020-06-08,2020-06-07,174348.225714286,102544.197142857,162385.927142857,81211.4042857143,11962.2985714286,21332.7928571429,0.791964894635397,0.208035105364603,"Alabama",20925,718,4903185,730.714285714286,11.5714285714286,-6.57142857142857,6.85714285714286,96.9221,0.59,1833.02,1830.86,1776.37,1747.03,1675.93,1686.93,1733.53
"AL",2020-06-15,2020-06-14,155623.02,106647.642857143,143550.542857143,84815.3828571429,12072.4771428571,21832.26,0.795286052132959,0.204713947867042,"Alabama",26272,774,4903185,629.428571428571,9.42857142857143,-4.42857142857143,5.57142857142857,96.9221,0.59,1782.18,1833.02,1830.86,1776.37,1747.03,1675.93,1686.93
"AL",2020-06-22,2020-06-21,169325.005714286,103521.372857143,157767.997142857,81587.9314285714,11557.0085714286,21933.4414285714,0.78812644362011,0.21187355637989,"Alabama",30454,841,4903185,774.285714285714,11.4285714285714,-7.71428571428571,7.28571428571429,96.9221,0.59,1735.17,1782.18,1833.02,1830.86,1776.37,1747.03,1675.93
"AL",2020-06-29,2020-06-28,154847.834285714,82403.5585714286,144077.481428571,64123.6842857143,10770.3528571429,18279.8742857143,0.778166445689733,0.221833554310267,"Alabama",37175,929,4903185,1216,12.5714285714286,-7.57142857142857,7.85714285714286,96.9221,0.59,1733.8,1735.17,1782.18,1833.02,1830.86,1776.37,1747.03
"AL",2020-07-06,2020-07-05,159183.027142857,87598.7114285714,147112.842857143,69410.6557142857,12070.1842857143,18188.0557142857,0.792370739047727,0.207629260952273,"Alabama",44878,1007,4903185,1376.28571428571,16.2857142857143,-8.28571428571428,7.42857142857143,96.9221,0.59,1753.87,1733.8,1735.17,1782.18,1833.02,1830.86,1776.37
"AL",2020-07-13,2020-07-12,168637.7,94460.97,156737.145714286,73572.6257142857,11900.5542857143,20888.3442857143,0.778867988697191,0.221132011302809,"Alabama",55545,1124,4903185,1917.71428571429,23.7142857142857,-6.4,8.4,96.9221,0.59,1779.88,1753.87,1733.8,1735.17,1782.18,1833.02,1830.86
"AR",2020-02-17,2020-02-16,119786.681428571,122887.697142857,92091.1328571429,97034.1642857143,27695.5485714286,25853.5328571429,0.789616589306836,0.210383410693164,"Arkansas",0,0,3017804,0,0,1.71428571428571,0.714285714285714,58.403,0.562,2039.15,2022.36,1993.68,1997.57,2032.01,2004.8,1967.95
"AR",2020-02-24,2020-02-23,121294.285714286,126763.234285714,93439.4014285714,99374.1814285714,27854.8842857143,27389.0528571429,0.783935357822994,0.216064642177006,"Arkansas",0,0,3017804,0,0,13.5714285714286,-1.57142857142857,58.403,0.562,1904.53,2039.15,2022.36,1993.68,1997.57,2032.01,2004.8
"AR",2020-03-02,2020-03-01,117584.884285714,119846.697142857,89768.9642857143,91830.2242857143,27815.92,28016.4728571429,0.766230747070591,0.233769252929409,"Arkansas",0,0,3017804,0,0,15.5714285714286,-1.85714285714286,58.403,0.562,1827.97,1904.53,2039.15,2022.36,1993.68,1997.57,2032.01
"AR",2020-03-09,2020-03-08,127961.445714286,106884.71,100229.36,79842.74,27732.0857142857,27041.97,0.746998705427558,0.253001294572442,"Arkansas",0,0,3017804,0.428571428571429,0,5.42857142857143,1.14285714285714,58.403,0.562,1631.21,1827.97,1904.53,2039.15,2022.36,1993.68,1997.57
"AR",2020-03-16,2020-03-15,121542.644285714,55576.5514285714,95792.4428571429,25407.3957142857,25750.2014285714,30169.1557142857,0.457160350205248,0.542839649794752,"Arkansas",3,0,3017804,23.1428571428571,0,-20.4285714285714,8.71428571428571,58.403,0.562,1301.34,1631.21,1827.97,1904.53,2039.15,2022.36,1993.68
"AR",2020-03-23,2020-03-22,120705.855714286,45198.2,92158.14,8403.57285714286,28547.7157142857,36794.6271428571,0.185927157655457,0.814072842344543,"Arkansas",192,0,3017804,37.2857142857143,0.857142857142857,-29.1428571428571,11.5714285714286,58.403,0.562,1441.38,1301.34,1631.21,1827.97,1904.53,2039.15,2022.36
"AR",2020-03-30,2020-03-29,121964.29,45402.1157142857,94018.5957142857,7702.54714285714,27945.6942857143,37699.5685714286,0.169651722649426,0.830348277350574,"Arkansas",473,7,3017804,58.7142857142857,1.42857142857143,-29.4285714285714,12.2857142857143,58.403,0.562,1448.35,1441.38,1301.34,1631.21,1827.97,1904.53,2039.15
"AR",2020-04-06,2020-04-05,118906.89,44591.2457142857,91660.8871428571,5978.43,27246.0028571429,38612.8157142857,0.134071831908582,0.865928168091418,"Arkansas",875,16,3017804,63.2857142857143,1.57142857142857,-31.7142857142857,12.4285714285714,58.403,0.562,1604.6,1448.35,1441.38,1301.34,1631.21,1827.97,1904.53
"AR",2020-04-13,2020-04-12,114022.998571429,54283.2357142857,87646.6628571429,8728.35142857143,26376.3357142857,45554.8842857143,0.160792762511657,0.839207237488343,"Arkansas",1410,29,3017804,71.5714285714286,1.71428571428571,-22.1428571428571,11,58.403,0.562,1647.63,1604.6,1448.35,1441.38,1301.34,1631.21,1827.97
"AR",2020-04-20,2020-04-19,121002.7,53704.8071428571,94237.0314285714,8409.10285714286,26765.6685714286,45295.7042857143,0.156580077362056,0.843419922637944,"Arkansas",1973,41,3017804,174.285714285714,1.71428571428571,-19.2857142857143,10.7142857142857,58.403,0.562,1685.4,1647.63,1604.6,1448.35,1441.38,1301.34,1631.21
"AR",2020-04-27,2020-04-26,120107.84,55584.4257142857,92737.7428571429,8811.21,27370.0971428571,46773.2157142857,0.15851940335394,0.84148059664606,"Arkansas",3069,51,3017804,62.2857142857143,3.57142857142857,-12,8.28571428571428,58.403,0.562,1733.53,1685.4,1647.63,1604.6,1448.35,1441.38,1301.34
"AR",2020-05-04,2020-05-03,135354.497142857,61656.9042857143,107965.242857143,11972.93,27389.2542857143,49683.9742857143,0.194186363047327,0.805813636952673,"Arkansas",3491,80,3017804,82.1428571428571,2.14285714285714,-7.57142857142857,8,58.403,0.562,1686.93,1733.53,1685.4,1647.63,1604.6,1448.35,1441.38
"AR",2020-05-11,2020-05-10,118211.245714286,70585.0385714286,92225.1928571429,27335.9428571429,25986.0528571429,43249.0957142857,0.387276729040535,0.612723270959465,"Arkansas",4043,94,3017804,106.714285714286,1,-10.2857142857143,8.85714285714286,58.403,0.562,1675.93,1686.93,1733.53,1685.4,1647.63,1604.6,1448.35
"AR",2020-05-18,2020-05-17,119814.262857143,77158.3685714286,93719.6557142857,32959.3285714286,26094.6071428571,44199.04,0.427164663816302,0.572835336183699,"Arkansas",4813,100,3017804,166.142857142857,2.57142857142857,-4.14285714285714,6.42857142857143,58.403,0.562,1747.03,1675.93,1686.93,1733.53,1685.4,1647.63,1604.6
"AR",2020-05-25,2020-05-24,111900.507142857,86977.9214285714,86930.9585714286,45441.0714285714,24969.5485714286,41536.85,0.522443749887595,0.477556250112405,"Arkansas",6029,117,3017804,190.142857142857,2.42857142857143,-6.85714285714286,8,58.403,0.562,1776.37,1747.03,1675.93,1686.93,1733.53,1685.4,1647.63
"AR",2020-06-01,2020-05-31,120516.282857143,89891.3057142857,94352.1371428571,53458.7957142857,26164.1457142857,36432.51,0.59470485259388,0.40529514740612,"Arkansas",7443,133,3017804,310.428571428571,3,-1.57142857142857,5.57142857142857,58.403,0.562,1830.86,1776.37,1747.03,1675.93,1686.93,1733.53,1685.4
"AR",2020-06-08,2020-06-07,123753.597142857,95646.5714285714,98408.9914285714,58743.2514285714,25344.6057142857,36903.32,0.614169965020029,0.385830034979971,"Arkansas",9740,155,3017804,439.285714285714,3.57142857142857,-2.85714285714286,5.42857142857143,58.403,0.562,1833.02,1830.86,1776.37,1747.03,1675.93,1686.93,1733.53
"AR",2020-06-15,2020-06-14,122700.761428571,101535.132857143,97487.3057142857,61668.3885714286,25213.4557142857,39866.7442857143,0.60736010123899,0.39263989876101,"Arkansas",12917,182,3017804,437.142857142857,6.57142857142857,-2.42857142857143,4.71428571428571,58.403,0.562,1782.18,1833.02,1830.86,1776.37,1747.03,1675.93,1686.93
"AR",2020-06-22,2020-06-21,120786.737142857,101756.394285714,95333.75,61718.0814285714,25452.9871428571,40038.3128571429,0.606527794757328,0.393472205242672,"Arkansas",16083,227,3017804,608.142857142857,5.57142857142857,-4.57142857142857,5.85714285714286,58.403,0.562,1735.17,1782.18,1833.02,1830.86,1776.37,1747.03,1675.93
"AR",2020-06-29,2020-06-28,104782.372857143,90923.5042857143,81142.1614285714,55571.3814285714,23640.2114285714,35352.1228571429,0.611188293556595,0.388811706443405,"Arkansas",20257,265,3017804,570.857142857143,3.28571428571429,-2.57142857142857,6,58.403,0.562,1733.8,1735.17,1782.18,1833.02,1830.86,1776.37,1747.03
