"State","Date","Dine_In_2020_weekly_pct"
"132","CT",2020-03-30,0.302998235796863
"133","CT",2020-04-06,0.316322009564627
"134","CT",2020-04-13,0.276665827088041
"135","CT",2020-04-20,0.267634005285584
"136","CT",2020-04-27,0.274207551893759
"137","CT",2020-05-04,0.279691631888151
"138","CT",2020-05-11,0.284510148163934
"139","CT",2020-05-18,0.404132784326167
"140","CT",2020-05-25,0.504138663529137
"141","CT",2020-06-01,0.544155540218383
"142","CT",2020-06-08,0.590532736129007
"143","CT",2020-06-15,0.625868010376842
"144","CT",2020-06-22,0.630129916716186
"145","CT",2020-06-29,0.616782676083621
"146","CT",2020-07-06,0.637320280413961
"147","CT",2020-07-13,0.515780212047654
"148","CT",2020-07-20,0.543888759738839
"149","CT",2020-07-27,0.533178472801127
"150","CT",2020-08-03,0.539877346836797
"151","DC",2020-02-17,0.87016742343784
"152","DC",2020-02-24,0.863569959968002
"153","DC",2020-03-02,0.864885737448176
"154","DC",2020-03-09,0.833560978838202
"155","DC",2020-03-16,0.402796601211021
"156","DC",2020-03-23,0.272578930116449
"157","DC",2020-03-30,0.249924089182919
"158","DC",2020-04-06,0.260572067226946
"159","DC",2020-04-13,0.242975075422121
"160","DC",2020-04-20,0.227813355953459
"161","DC",2020-04-27,0.250631315135204
"162","DC",2020-05-04,0.226458634665226
"163","DC",2020-05-11,0.252598971273393
"164","DC",2020-05-18,0.257415170515724
"165","DC",2020-05-25,0.319079335063245
"166","DC",2020-06-01,0.360744798829148
"167","DC",2020-06-08,0.432796422467459
"168","DC",2020-06-15,0.430955715798035
"169","DC",2020-06-22,0.482245856001088
"170","DC",2020-06-29,0.495270288753429
"171","DC",2020-07-06,0.496768181443588
"172","DC",2020-07-13,0.364804919888654
"173","DC",2020-07-20,0.434954732671681
"174","DC",2020-07-27,0.42202504414977
"175","DC",2020-08-03,0.403268094388232
"176","DE",2020-02-17,0.82072781825292
"177","DE",2020-02-24,0.807653741421458
"178","DE",2020-03-02,0.813883568714001
"179","DE",2020-03-09,0.803471198257423
"180","DE",2020-03-16,0.45432122373211
"181","DE",2020-03-23,0.345447915400511
"182","DE",2020-03-30,0.343093234920486
"183","DE",2020-04-06,0.357435494813763
"184","DE",2020-04-13,0.306522877967289
"185","DE",2020-04-20,0.323956557181383
"186","DE",2020-04-27,0.335742503749311
"187","DE",2020-05-04,0.342718440382548
"188","DE",2020-05-11,0.350094461718278
"189","DE",2020-05-18,0.355397834792673
"190","DE",2020-05-25,0.396073551262901
"191","DE",2020-06-01,0.538273754341215
"192","DE",2020-06-08,0.593937388104344
"193","DE",2020-06-15,0.624355816151516
"194","DE",2020-06-22,0.615965477998264
"195","DE",2020-06-29,0.606407462137626
"196","DE",2020-07-06,0.597956251883543
"197","DE",2020-07-13,0.545003274440319
"198","DE",2020-07-20,0.560682494429347
"199","DE",2020-07-27,0.546987289714265
"200","DE",2020-08-03,0.535441189825131
"201","FL",2020-02-17,0.870986195228506
"202","FL",2020-02-24,0.867583914222444
"203","FL",2020-03-02,0.867316462850271
"204","FL",2020-03-09,0.854201293411762
"205","FL",2020-03-16,0.581848815522508
"206","FL",2020-03-23,0.308976011464259
"207","FL",2020-03-30,0.288573121456048
"208","FL",2020-04-06,0.294805800219979
"209","FL",2020-04-13,0.270890226386423
"210","FL",2020-04-20,0.279407137317111
"211","FL",2020-04-27,0.293997706226447
"212","FL",2020-05-04,0.458120841320938
"213","FL",2020-05-11,0.530256022311369
"214","FL",2020-05-18,0.590996300851612
"215","FL",2020-05-25,0.643475592357018
"216","FL",2020-06-01,0.666007082894172
"217","FL",2020-06-08,0.711836923662808
"218","FL",2020-06-15,0.700338522608523
"219","FL",2020-06-22,0.675432698928051
"220","FL",2020-06-29,0.648852046150488
"221","FL",2020-07-06,0.641956814764794
"222","FL",2020-07-13,0.763350439659499
"223","FL",2020-07-20,0.753416189424467
"224","FL",2020-07-27,0.741415545710563
"225","FL",2020-08-03,0.728871188761826
"226","GA",2020-02-17,0.845515708313593
"227","GA",2020-02-24,0.841003398786138
"228","GA",2020-03-02,0.843151469995252
"229","GA",2020-03-09,0.838213136030016
"230","GA",2020-03-16,0.636456980284514
"231","GA",2020-03-23,0.396667352221875
"232","GA",2020-03-30,0.332634319228469
"233","GA",2020-04-06,0.334565026637663
"234","GA",2020-04-13,0.293535777779905
"235","GA",2020-04-20,0.306443811227499
"236","GA",2020-04-27,0.408392618861188
"237","GA",2020-05-04,0.474532603341637
"238","GA",2020-05-11,0.545000196762998
"239","GA",2020-05-18,0.611191775884536
"240","GA",2020-05-25,0.65839886805394
"241","GA",2020-06-01,0.696218089061199
"242","GA",2020-06-08,0.690675878445101
"243","GA",2020-06-15,0.696747690764108
"244","GA",2020-06-22,0.694626691451033
"245","GA",2020-06-29,0.70034968886608
"246","GA",2020-07-06,0.687142881707698
"247","GA",2020-07-13,0.60009823209697
"248","GA",2020-07-20,0.603463888659579
"249","GA",2020-07-27,0.584280528210405
"250","GA",2020-08-03,0.573169938250077
"251","IA",2020-02-17,0.878011329320465
"252","IA",2020-02-24,0.882202020311248
"253","IA",2020-03-02,0.874599741520371
"254","IA",2020-03-09,0.868205965067785
"255","IA",2020-03-16,0.47262715082223
"256","IA",2020-03-23,0.416156187772304
"257","IA",2020-03-30,0.412453605074369
"258","IA",2020-04-06,0.433218544991315
"259","IA",2020-04-13,0.398571930476333
"260","IA",2020-04-20,0.406023246128428
"261","IA",2020-04-27,0.459557907918677
"262","IA",2020-05-04,0.466824637721756
"263","IA",2020-05-11,0.516348517405907
"264","IA",2020-05-18,0.602319433665354
"265","IA",2020-05-25,0.655520152636087
"266","IA",2020-06-01,0.677831042922719
"267","IA",2020-06-08,0.741611070144013
"268","IA",2020-06-15,0.753981252813344
"269","IA",2020-06-22,0.740362761351791
"270","IA",2020-06-29,0.731927360017377
"271","IA",2020-07-06,0.731677741359773
"272","IA",2020-07-13,0.629060164910638
"273","IA",2020-07-20,0.64527034374309
"274","IA",2020-07-27,0.636799754711214
"275","IA",2020-08-03,0.658377941893615
"276","ID",2020-02-17,0.928397296902602
"277","ID",2020-02-24,0.928698961163756
"278","ID",2020-03-02,0.924822671631824
"279","ID",2020-03-09,0.923599753685707
"280","ID",2020-03-16,0.85944639022779
"281","ID",2020-03-23,0.775088893768079
