Security,MCD US Equity ,,SBUX US Equity,,YUM US Equity,,CMG US Equity,,QSR US Equity,,YUMC US Equity,,DRI  US Equity,,DPZ  US Equity,,DNKN  US Equity,,WEN US Equity,,CAKE US Equity,
Start Date,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,2011/10/1,,40817,
End Date,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,2020/6/19,,44001,
Period,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
,,,,,,,,,,,,,,,,,,,,,,
Date,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME
2019/1/8,180.6,2941377,63.62,10809743,91.18,2604701,497.37,883234,54.54,1231195,33.58,1997520,105.62,1676743,242.21,784990,69.72,913112,16.31,3941224,46.2,1378705
2019/1/7,180.22,3282952,63.57,10337844,91.36,2561128,485.15,1038324,55.61,1824608,34.2,1820320,103.94,1889290,246.43,567811,68.25,938519,16.16,2749632,43.87,1610150
2019/1/4,178.28,3194259,63.57,12694446,91.46,2142736,455,899550,54.14,1722410,33.81,1646514,101.4,2070148,243.6,405086,65.4,1162754,15.91,3027846,42.41,900160
2019/1/3,174.9,3728238,61.53,14390100,89.14,2680314,439.45,674615,52.13,2245871,32.88,1246531,98.32,1857837,239.69,596580,64.36,1815699,15.56,2273922,42.06,631236
2019/1/2,176.06,2571462,64.32,10093978,91.44,1743396,443.36,706253,51.42,1939108,34.22,1265577,99.93,1563635,243.3,444740,62.92,864719,15.64,2155115,43.12,739122
2018/12/31,177.57,2482576,64.4,7690183,91.92,1657022,431.79,501815,52.3,1232636,33.53,795745,99.86,1163427,247.99,443226,64.12,905809,15.61,3113587,43.51,675900
2018/12/28,175.56,2896778,63.39,7712127,91.61,1699536,424.19,713701,52.01,1010005,33.43,1199867,98.34,1290413,249.95,404210,63.42,585388,15.63,2517801,42.69,695178
2018/12/27,175.71,3934478,63.2,11308081,90.96,2081589,414.55,573748,52.46,1386254,33.39,994180,98.55,1372919,248.47,412997,63.43,827413,15.47,2934523,42.8,649937
2018/12/26,174.03,4065567,63.08,16646238,89.99,2030246,405.72,633353,52.33,986339,32.96,1303000,98.57,1172375,248.91,413118,64.27,570755,15.53,1924247,43.09,690342
2018/12/24,170.28,2400878,60.56,6323252,87.02,1805978,385.84,425238,50.61,1696452,32.27,824993,96.71,907052,234.35,249206,61.93,617922,15,2354487,42.25,463910
2018/12/21,174.15,8536938,61.39,23524888,88.14,5364553,394.42,949515,51.68,2048141,32.26,2094788,99.18,2561537,239.49,1032821,64.29,1470327,15.69,6612680,42.49,1552830
2018/12/20,173.68,5775271,62.15,20264918,87.12,4348518,400.77,1363547,51.89,1778208,33.06,1710542,99.08,2617457,235.39,769210,64.54,958081,15.84,2869761,42.98,1018555
2018/12/19,179.16,3883791,64.06,14390146,90.12,2563358,427.05,942954,52.94,1565823,33.97,1312330,100.63,2706690,239.38,483360,66.22,772629,16.37,5596189,43.2,958611
2018/12/18,179.71,4268985,64.92,10523476,90.1,1819621,443.8,655408,52.63,1874715,34.84,1239772,103.85,4334541,244.65,633531,66.86,855760,16.51,4622698,43.58,822995
2018/12/17,180.79,4566870,64.47,15143054,89.71,3099133,443.5,822043,52.36,1514077,35,1361832,98.89,3030893,242.19,609139,66.72,1407819,16.4,4616582,44.22,726020
2018/12/14,183.29,4450192,65.34,16834020,91.7,2109856,457.83,696976,53.28,1175809,35.64,871712,103.2,1630996,249.01,528082,69.44,972757,16.71,4889996,44.76,658078
2018/12/13,186.43,2737514,66.91,10016213,93.46,3329955,472.73,338511,54.55,1504145,36.46,1582144,104.22,1581717,250.16,510610,70.8,629959,17.09,2984909,45.83,697123
2018/12/12,183.48,3024671,66.13,11116217,90.46,2440995,471.31,403239,53.98,1135240,36.17,1999576,105.31,1993597,249.68,640362,70.67,478494,17.03,7009671,45.96,786829
2018/12/11,183.59,2889144,65.92,10903364,89.81,2148894,472.35,395992,52.98,1678178,34.76,1769359,101.75,2043735,252,574057,69.96,893677,16.98,2923680,45.41,712959
2018/12/10,184.65,3084968,65.49,12148308,90.26,2303011,475.15,645931,53.8,1753371,34.96,1256693,105.36,1816415,255.21,598346,71.85,558190,17.16,6315466,45.74,670075
2018/12/7,182.96,3087954,65.47,11057454,90.43,2995338,467.43,709545,54.67,1536133,34.98,1520962,104.83,1753787,258.32,432304,71.63,688777,17.11,7137968,45.89,671837
2018/12/6,185.45,4878006,66.55,17222196,91.5,3714906,469.94,645819,57.13,889572,35.43,1594319,109.38,1650281,266.4,688546,73.48,862522,17.57,4000176,46.54,829451
2018/12/4,185.04,4436191,66.65,13555064,90.68,2854880,468.35,553220,56.32,2049037,35.62,1602095,107.75,1635669,266.02,566663,73.13,428746,17.45,2805937,46.68,888534
2018/12/3,185.37,4399266,67.5,13834742,92.07,3648322,475.38,476231,57.39,1804818,36.53,1687274,110.05,1959159,276.36,508065,74.79,671804,17.92,3141383,47.02,986614
2018/11/30,188.51,6635621,66.72,27309197,92.22,4725055,473.21,956224,58.33,1352814,35.83,2832174,110.54,1875071,277.32,599724,74,705170,17.93,3106675,47.19,1028721
2018/11/29,189.26,4617087,66.88,9605484,91.86,2003842,482.56,426678,58.78,1536588,35.78,2643822,111.26,1327974,280.18,552801,73.52,875578,18.06,3809499,47.68,1073750
2018/11/28,187.85,3279454,66.82,12867734,91.73,1910516,490.52,665380,58.2,1714962,36.52,3257545,113.35,1693622,273.8,374141,73.01,531201,17.88,4811656,49.53,936235
2018/11/27,184.63,2194245,66.08,13169085,89.47,1704878,473.45,360781,56.15,971763,35.35,2614459,109.93,1629799,268.58,479950,71.6,706805,17.54,3039232,48.24,793336
2018/11/26,183.89,3843322,65.69,13066763,88.31,1743418,466.02,487038,56.54,1525529,35.07,1139340,110.28,1441737,266.36,609414,71.53,566779,17.78,2443623,48.23,830632
2018/11/23,181.93,1747670,65.7,7779765,87.19,853442,471.42,216506,55.33,559922,35.02,626303,111.57,638662,262.5,195145,70.99,317241,17.75,1154608,50.18,508178
2018/11/21,182.72,3410745,66.77,10978166,87.03,1751865,471.26,431759,55.03,1516880,34.85,1097855,111.21,707889,259.59,527382,71.65,732188,17.7,2563709,49.15,401629
2018/11/20,183.71,3708429,67.18,11208855,87.19,1871058,461.63,706230,52.61,1685590,34.61,2147591,111.34,1128778,255.22,890127,71.39,779648,17.76,4164256,49.28,549296
2018/11/19,186.72,3745905,67.91,10855387,88.13,2565297,465.87,674776,53.79,1441316,35.02,2466034,113.46,1460704,252.07,791503,71.26,964364,17.94,8391034,49.2,1209781
2018/11/16,187.59,3759462,68.16,9287882,88.89,2420907,472.76,808464,55.47,2288946,35.17,1834730,111.86,1604469,264.62,1112893,73.22,936234,17.79,2734555,47.91,1218887
2018/11/15,183.56,3351256,67.62,15246503,88.79,2791111,472.3,658331,54.48,2044550,35.8,1449865,111.82,1732448,259.62,629496,71.5,1232143,17.49,4065871,50.3,527853
2018/11/14,183.85,3407486,67.04,13350450,89.18,2552353,479.32,732673,55.39,805139,35.78,1637283,111.92,1632768,266.12,392095,72.35,688117,17.46,5384585,50.99,592252
2018/11/13,184.01,2358173,67.41,16636978,89.03,1514282,484.82,502855,55.67,1056359,35.58,2502028,112.05,2067686,264.71,357056,72.31,686692,17.76,4107502,51.2,834459
2018/11/12,184.37,3080753,67.91,12789647,89.45,1331958,489.67,849027,55.96,780178,36.36,2183909,112.39,1634182,269.09,416142,73.39,629136,17.32,5462932,50.15,1149433
2018/11/9,185.94,3237062,68.6,8637203,90.72,1821934,490.76,891882,56.81,1369769,36.5,3272191,112.44,1731577,274.35,402615,74.51,722605,17.42,5984375,52.31,516378
2018/11/8,185.48,3318599,68.72,14081663,90.46,2465517,478.3,427067,56.48,710856,37.28,1603029,112.24,1440977,273.15,487702,74.77,668169,16.84,6875258,52.3,478653
2018/11/7,184.25,4363930,68.16,16465020,89.38,2727478,477.49,479743,56.87,1193570,37.06,3271791,111.22,2126238,271.47,559256,73.72,570324,16.63,15830173,52.29,1422486
2018/11/6,182.71,4864654,66.01,16065429,87.9,2998477,474.15,700399,56.37,1402809,37.3,3614783,110.65,3451253,263.56,561720,72.94,929402,17.08,5559719,51.43,740003
2018/11/5,180.39,4747298,64.48,23242808,87.47,2475401,469.65,705258,55.42,1546722,36.04,3065505,106.34,2410425,260.26,551599,71.99,722314,17.04,6282586,50.32,720270
2018/11/2,176.75,4190863,64.32,45572997,86.9,3007368,476.39,694275,54.81,2079320,36.01,3449565,105.3,2956463,265.3,538503,72.11,887889,17,8891611,49.17,704294
2018/11/1,174.88,3701151,58.63,18772357,87.99,3116504,472.62,788009,55.49,1485571,35.84,3209399,104.86,1290094,266.05,506761,71.72,887088,17.18,3524240,48.59,1179105
2018/10/31,176.9,5424712,58.27,11560416,90.41,4798359,460.33,1210824,54.77,2140836,36.08,5912670,106.55,1375176,268.79,698148,72.56,675015,17.24,4068642,48.34,2092435
2018/10/30,178.49,5582931,58.59,14230072,86.43,3708890,461.77,992855,53.06,1659512,31.69,2672059,108.07,1390290,266.23,811120,73.32,1082820,17.17,3740341,49.05,2067508
2018/10/29,173.23,3485180,58.37,14412820,85.47,1957042,440.87,881262,53.26,2939804,31.2,2900946,105.16,1095238,256.49,572420,70.84,1144369,16.8,2967460,47.85,1134455
2018/10/26,173.34,4741914,58.07,13367726,85.78,2118737,438.38,1632079,55.41,3350036,31.73,1885193,103.91,1286714,261.24,550058,72.74,1134113,16.85,3183858,48.63,1022926
2018/10/25,175.31,4646367,58.96,9569597,86.92,2166311,423.88,1272357,56.33,2544620,31.32,2290528,106.43,918448,261.77,538940,73.7,1591531,17.03,4467153,50.45,723593
2018/10/24,177.35,7866377,58.06,12189685,87.06,1948288,413,840055,56.22,3330086,31.32,1971195,103.91,1381527,255.49,552940,70.34,1468749,16.77,5006134,49.47,732491
2018/10/23,177.15,12918331,58.81,12834169,88.82,2724326,434.29,572858,56.81,2139859,32.01,1583602,107.2,1120062,265.82,592830,72.56,1448817,16.96,5440475,49.44,836357
2018/10/22,166.63,5703547,58.9,8680150,89.35,2265320,431.19,572736,56.65,1599966,32.38,1299325,107.13,1068483,267.75,943269,72.48,582108,17.09,4302889,50.67,1005683
2018/10/19,167.49,3509973,58.66,10180500,89.4,1460248,428.54,511067,57.39,1528548,31.85,1902245,106.33,1439722,267.75,798312,72.6,716028,17.02,4315627,49.59,773964
2018/10/18,166.81,3378587,58.64,12184673,89.82,1986620,431.73,747341,57.16,1171468,32.85,3167292,109.66,1219939,266.38,823399,73.59,721315,16.99,5479976,50.29,690219
2018/10/17,166.77,3608363,59.1,14631015,91.36,1335148,429.85,734421,57.09,1706038,32.61,3300381,109.94,1049252,267.69,963108,74.41,804802,17.24,4576968,51.04,693853
2018/10/16,164.07,4094663,57.81,11731398,90.43,1516227,433.95,941638,57.98,1197034,32.85,2220890,110.09,1562304,259.63,2390782,74.19,615896,17.5,3531208,50.99,742248
2018/10/15,163.67,4265948,56.75,10175142,88.45,1180381,431.74,502092,57.6,1518533,32.25,1505443,106.74,922093,272.94,961016,73.16,578963,17.26,1654095,50.36,1016440
2018/10/12,163.82,3446093,56.45,13980461,88.05,1747777,435.71,819229,57.74,1800556,32.9,2172655,106.76,1671027,277.34,583397,72,661708,17.12,2766750,50.21,877504
2018/10/11,162.97,5430672,54.86,15316853,87.07,2250392,433.93,660093,56.25,2041160,32.05,3664204,104.05,2045715,270.88,679280,70.95,1098680,16.92,3305306,50.84,524549
2018/10/10,168.37,4190540,56.01,14190452,89.2,1756102,434.21,638437,56.57,1402313,32.18,2730439,106.96,1220378,274.92,613365,72.04,810340,17.28,3884160,51.55,479605
2018/10/9,169.83,4158072,57.71,24855677,91.18,2162947,447.09,492594,59.05,966072,33.47,1438390,108.64,1272041,284.18,366832,73.4,988195,17.46,2603886,52.4,572661
2018/10/8,167.77,2560488,56.54,9624260,90.64,1198658,448.56,839291,57.93,2180106,33.3,2235709,108.34,1105537,280.24,343481,71.53,599834,17.29,4625523,52.04,478301
2018/10/5,166.57,2822503,55.76,9734042,90,1370983,449.36,958771,58.94,1833903,33.27,1820364,108.39,1574309,282.91,338251,71.33,506634,17.26,1924952,51.57,550374
2018/10/4,165.8,3230440,55.89,9722043,89.57,1561435,447.77,860513,57.57,1373634,33.91,1381524,108.14,1399637,281.77,389594,71.48,469553,16.99,2629137,51.81,405575
2018/10/3,164.66,3830275,55.47,7383546,89.76,1123572,436.44,707139,57.86,1411219,33.91,2015176,107.9,1561238,286,344460,71.06,728645,17.22,2532636,52.04,438625
2018/10/2,165.18,3071198,55.59,12680838,89.98,1504515,436.37,916631,58.51,1092147,34,2662949,107.05,1715089,282.28,290834,71.68,1042682,16.97,4903694,52.06,386876
2018/10/1,166.67,3126616,55.58,12727584,90.42,2007072,446.97,959381,58.84,788197,34.5,1521993,109.22,1444495,285.52,476974,72.76,577121,17.08,3259259,52.49,585997
2018/9/28,167.29,3390221,56.84,8975955,90.91,2074426,454.52,932945,59.28,1480881,35.11,1451723,111.19,1807715,294.8,409042,73.72,731338,17.14,3830911,53.54,555424
2018/9/27,166.53,2390670,57.34,6606185,90.32,927939,465.4,440695,59.12,1588981,34.94,1430302,111.28,916730,293.45,514639,73.89,836036,17.29,3576603,53.63,369910
2018/9/26,165.76,3092556,57.27,7757332,89.88,1303570,467.91,547930,59.2,825268,35.07,1477467,112.54,1269672,289.18,413359,73.98,1198237,17.56,3987413,53.55,630601
2018/9/25,166.41,5282930,56.9,9445481,89.88,1658516,465.62,354334,59.19,527752,34.86,2877412,113.08,1475449,290.79,662288,73.79,864337,17.42,4887144,53.06,441865
2018/9/24,163.31,4375289,56.69,10616004,89.3,1410234,465.89,620251,58.98,923315,34.71,2425556,113.28,1811589,288.99,587526,72.82,1082475,17.32,2005403,52.49,620948
2018/9/21,165.3,8805474,57.45,25800450,89.53,3859504,467.37,994703,59,2388091,35.26,3154369,112.89,3062007,286.22,871076,73.3,852865,17.17,4699291,52.32,895384
2018/9/20,160.79,3218707,56.43,10582603,88.96,1098312,480.1,654024,60.55,1376636,35.12,1823950,116.45,3697381,282.71,611454,74.13,460877,17.48,3450408,53.19,607670
2018/9/19,159.18,2821953,55.43,7451644,88.55,867219,490.6,386327,59.42,1129958,34.81,2840303,117.89,1662875,279.47,465621,74.03,427743,17.49,3419409,53.74,375349
2018/9/18,157.77,3722864,55.07,7569586,88.29,1361876,491.49,438788,59.25,1660768,33.67,3156846,118.9,1697626,281.81,637271,73.85,523392,17.77,3335966,53.61,418952
2018/9/17,158.14,5360039,54.57,9277192,87.69,1257467,488.32,633413,57.99,1942508,33.31,2310814,117.98,992231,274.6,709900,73.14,840799,17.41,3124027,53.05,453471
2018/9/14,160.84,3939824,54.75,6827670,88.14,1778778,491.56,506385,58.29,1486473,33.18,2315939,119.05,815796,280.05,738935,74.27,845415,17.57,7799260,52.93,732652
2018/9/13,162.4,3663571,54.89,8566607,88.49,1168196,495.94,439061,58.59,1519878,33.15,3504267,118.85,862094,284.84,277237,76.02,424906,18.08,4617732,52.99,711650
2018/9/12,164.74,2613354,54.97,7297268,88.33,1294813,494.77,513521,58.78,1958713,32.47,6028298,118.74,754193,285.24,511810,76.2,560198,17.72,2971689,53.5,662271
2018/9/11,164.62,2946393,55.12,7873859,88.23,1834945,488.23,406372,58.13,2035285,31.94,16036440,119.38,1173258,286.62,404492,75.83,757094,17.67,1797660,53.56,724746
2018/9/10,165.07,3080082,54.97,8621174,88.46,1299370,489.12,781281,56.84,2241531,36.86,3485570,118.68,1006177,293.78,342974,76.31,556491,17.7,3355937,54.5,707219
2018/9/7,163.9,2868309,54.86,10231692,88.4,1394369,482.03,780277,56.51,1210031,38.04,1272934,119.16,1571683,294.07,294355,76.52,688355,17.89,6409309,55.08,754402
2018/9/6,163.74,3133754,54.21,7803422,87.92,2209747,481.05,796881,56.82,2351026,38.02,1722573,118.81,1154785,290.53,649554,75.77,708326,17.45,4765718,54.95,526624
2018/9/5,163.24,2749174,53.79,7966579,86.73,2577868,477.88,710557,55.98,1683534,38.09,2097668,118.87,1066377,289.81,540435,75.52,834821,17.49,3354240,54.59,824286
2018/9/4,161.72,3296272,53.53,8235166,87.02,1640769,477.49,593514,56.85,2059545,38.51,1876150,117.27,815525,296.6,417993,76.06,2656489,17.5,4502449,52.89,432893
2018/8/31,162.23,3649768,53.45,10892775,86.89,2537283,475.18,803250,57.4,1709048,38.68,3505330,116.04,999911,298.56,360887,72.89,484072,17.65,2005469,53.17,620344
2018/8/30,162.8,3038737,53.1,5576425,85.7,1376486,483.99,561206,57.43,1445438,38.47,5352797,115.62,557468,300.67,216795,71.72,364593,17.7,2222812,52.98,423610
2018/8/29,163.11,3168231,53.25,6604919,85.99,1564547,487.65,771202,58.04,1227370,39.23,6869012,114.88,518480,300.64,402269,71.8,513285,17.77,1520698,52.77,339540
2018/8/28,161.64,2138158,53.05,7171873,85.37,1817411,494.09,515802,58.72,852145,37.17,9463158,114.98,912407,299.43,419252,72.05,522653,17.82,1483227,52.86,389662
2018/8/27,160.48,2627116,52.97,6443156,84.49,1290694,495.6,1373615,59,1233695,35.89,1169141,113.88,643697,297.89,453022,71.4,310040,17.77,2048577,52.51,432179
2018/8/24,159.38,2199440,52.75,9850039,84.14,1038697,520.71,451351,58.99,1550385,35.33,2083764,114.33,970662,297.95,680917,71.43,293257,17.8,3103054,52.84,501716
2018/8/23,159.05,2755807,52.66,8567574,83.52,1186927,518.04,705666,58.55,3444321,35.01,1922750,114.31,1101170,289.4,290435,71.59,280548,17.96,1606212,53,374018
2018/8/22,160.55,2361539,52.82,10369620,83.81,1146363,523.58,459674,59.76,1676044,35.56,1684358,113.76,529557,291.54,432917,71.75,267674,17.99,2311131,52.8,394688
2018/8/21,161.04,1920897,54,7990040,84.33,1339482,518.9,450914,60.31,1522431,35.53,3766030,114,626576,287.37,275315,71.69,632647,18.19,2564402,52.51,460286
2018/8/20,161.68,2659503,53.92,9791538,84.11,1739676,515.75,598506,61.08,1184722,35.07,1486315,114.36,1166478,284.75,395825,72.54,388146,18.43,2347420,52.14,539659
2018/8/17,161.15,2527422,53.56,8166981,83.81,1664733,510.44,725104,61.55,2308430,34.86,2570075,113.85,776918,285.04,329905,72.3,465609,18.42,2852900,51.32,678383
2018/8/16,161.73,2822325,53.04,8721212,84.2,1722722,502.7,2211508,62.76,1034487,35.33,1912656,112.88,987908,287.72,631944,72.36,372289,18.3,6172777,50.35,342823
2018/8/15,159.88,3355474,52.75,9566235,82.87,1529066,525.89,1918591,62.33,1544491,35.02,2563693,112.34,1262509,284.19,551652,72.15,377450,17.88,2278232,50.52,476126
2018/8/14,160.6,3111910,52.59,9385434,83.09,1727645,493.32,876693,62.21,1559739,35.58,4434128,111.16,818929,287.51,962324,72.23,513281,17.84,2915699,50.34,592394
2018/8/13,158.14,2879590,51.81,7911311,82.38,1343342,484.66,383827,61.85,1004522,34.22,2286637,109.33,755502,288.6,334580,70.51,674261,17.35,2638301,49.78,544498
2018/8/10,158.68,3343459,51.51,10539692,82.94,1915548,485.47,598569,62.08,1769098,34.44,1755633,109.47,892686,291.31,455286,71.53,879830,17.65,2395588,49.24,555539
2018/8/9,159.3,2764451,51.92,7175435,82.73,1366972,487.68,592261,62.64,1836683,34.73,1738387,109.42,884712,291.45,567727,71.64,750471,17.76,3358269,49.45,611989
2018/8/8,158.92,2988536,51.55,7258334,81.92,1531717,487.57,806368,62.38,1553759,34.7,2692727,109.88,735071,286.92,557259,71.33,919258,17.26,5170284,49.58,1032799
2018/8/7,156.04,1929394,52.07,5869803,81.33,2181880,478.02,548508,62.5,1883148,34.7,2068421,109.98,836974,277.45,443627,70.81,651567,17.01,4010083,49.57,705834
2018/8/6,156.72,2375200,52.07,6505777,81.59,1749019,475.25,1129992,62.98,865242,34.43,2227695,110.89,971980,280.14,483376,70.45,841029,17.07,4138628,50.44,882200
2018/8/3,156.21,3673120,52.23,8246476,81.86,2194070,463.27,1083299,63.45,805189,35.1,2983612,108.88,1114214,279.5,613816,70.51,708671,16.8,3518955,49.69,1093435
2018/8/2,155.41,6245890,51.68,13636439,80.63,2732490,460.38,1239725,63.64,2241474,35.3,4719953,108.77,1287459,276.75,982205,70.59,1041166,16.65,4595624,50.15,1794380
2018/8/1,156.92,4253003,51.93,11952400,79.47,2766060,442.63,1131381,63.91,4046074,35.64,2939554,106.53,1207282,270.34,986687,69.68,608775,16.69,2425779,49.06,6975318
2018/7/31,157.54,3530344,52.39,9228240,79.29,2030026,433.66,4542057,63.13,2614540,36.08,1951511,106.94,1328706,262.66,682825,69.63,1019730,16.68,1606252,56.03,1977955
2018/7/30,158.64,3274878,51.9,14448359,78.74,1441189,465.47,745421,62.87,1849127,36.05,3439601,106.42,632022,256.41,702328,68.88,875803,16.5,2805532,57.2,898460
2018/7/27,157.48,4287282,52.15,15770270,78.91,1377116,472.3,2182955,63.85,854172,37.21,10249346,106.78,1193611,260.7,698249,69.58,1209859,16.71,1723019,59.25,960933
2018/7/26,156.14,7409782,51.45,11114792,78.95,2195066,446.76,875394,63.76,965442,35.79,20165733,107.01,1632371,260,504888,71.19,1638814,16.93,2288591,59.38,521160
2018/7/25,158.89,4374054,51.62,11370019,78.67,1286141,451.63,440339,64.43,1352105,32.3,9318202,107.05,2385635,262.2,635847,70.9,1106091,16.73,1780245,58.73,696331
2018/7/24,157.94,3388383,51.17,9921586,78.25,1492064,449.48,577458,64.51,1715072,33.5,4030018,108.3,1798477,263.07,913285,71.16,2068754,16.84,3519101,58.31,969733
2018/7/23,158.75,2754730,51.19,8406801,78.95,1019269,456.59,444257,64.79,1461326,34.21,4915386,110.96,1139207,271.75,690502,72.45,982457,17.09,3248192,59.53,614435
2018/7/20,157.97,2697080,50.91,11033405,79.31,1427080,451.19,430215,65.1,1773371,33.71,5486199,110.46,1240297,277.17,587028,73,1433489,17.42,2086155,59.05,471044
2018/7/19,157.41,4869720,51.34,11415630,79.33,1585520,454.83,291779,64.04,707176,36,2781472,111.81,801817,276.75,1970197,72.25,1390682,17.66,2654527,59.5,547239
2018/7/18,157.93,3824040,51.15,13549524,79.49,1650901,453.58,308472,63.78,841475,36.81,1971107,112.15,1215124,283.68,1079768,72.05,1373231,17.77,7641805,58.55,701474
2018/7/17,159.75,1877482,51.28,11421330,78.72,771082,452.54,531711,63.99,1438753,36.65,1712768,110.38,1215430,282.04,844596,72.17,683278,17.43,2710484,57.13,667082
2018/7/16,158.78,2818313,50.94,16974920,78.66,762553,452.06,531921,63.22,749899,36.5,2303384,111.28,1506879,279.19,354161,71.67,585198,17.44,2818663,56.87,504219
2018/7/13,158.51,5187544,51.62,21720110,79.14,936779,457.21,349407,63.48,1343554,36.62,3003607,112.09,955706,281.4,456181,71.43,746771,17.56,1812052,57.56,755564
2018/7/12,159.12,2360824,50.25,9339200,79.12,1176824,459.05,405246,64.07,1619614,36.57,3438837,111.39,1386300,279.03,345474,70.6,905403,17.48,1389678,57.35,581284
2018/7/11,158.62,3203795,50.14,9542401,78.79,1278024,457.18,580748,63.09,2265217,36.3,4112336,110.46,1768473,279.66,783964,71.29,1092398,17.43,1466785,57.1,612950
2018/7/10,160.62,2187530,50.42,9038021,79.31,1232549,454.21,671251,61.83,1153577,36.74,3468811,109.8,1994080,272.39,648791,70.99,1139715,17.51,1344152,56.89,636255
2018/7/9,159.94,2477291,49.9,12811694,79.17,1598360,463.89,729909,61.05,1051838,37.35,3063130,110.43,2254462,278.27,529256,70.55,883836,17.45,1374358,57,445224
2018/7/6,159.42,3441328,48.98,10711984,78.27,1494568,451.04,573485,60.89,1335607,37.34,2386134,111.08,1963523,279.15,481978,70.17,861066,17.28,1719226,57.06,828306
2018/7/5,157.32,2248320,48.61,9630476,77.74,1430963,448.02,472546,60.56,1433061,36.43,2955192,110.19,1963628,277.74,534532,69,652895,17.28,2295698,56.68,466382
2018/7/3,156.48,1437699,48.77,7517541,77.84,968289,448.95,457068,60.19,561016,37.14,1195344,108.67,2591328,280.13,202520,68.56,281609,17.26,945790,56.27,416571
2018/7/2,156.87,3023959,49.06,9870932,78.11,1599141,442.82,701692,60.19,1984096,37.99,2068710,109.51,2053260,281,496096,68.77,1073377,17.24,1923855,55.76,1141596
2018/6/29,156.69,4024512,48.85,17413010,78.22,3249164,431.37,1027550,60.3,1357851,38.46,1639850,107.06,1894934,282.17,318352,69.07,854739,17.18,1608985,55.06,738976
2018/6/28,156.32,4136532,48.54,33210109,77.89,2165299,428.36,2254095,59.43,1392355,38.7,4138481,108,2003659,282.09,324863,69.14,1068372,17.16,1677578,56.04,1686912
2018/6/27,157.42,4962140,49.84,14576867,78.87,2873629,457.24,628560,58.48,1236064,37.57,4432422,105.87,1880718,281.47,516561,69.16,1143915,17.12,2853932,55.08,939240
2018/6/26,160.91,3375117,50.38,12930561,80.01,2490083,461.7,907730,59.73,1315397,39.76,2487153,107.84,2031872,283.11,1210982,68.93,847778,17.49,2261445,56.35,720885
2018/6/25,159.81,6126774,50.66,15578586,78.59,2040099,454.17,794147,60,1965201,39.18,3039608,107.3,2509991,279.51,1182096,69.21,1235683,17.47,3772555,56.02,1393014
2018/6/22,164.55,10927291,51.24,24429564,80.36,4628204,469.94,663554,60.75,2445697,40.46,5612718,108.87,3623376,292.39,525924,69.76,1939692,18.13,2797958,57.67,1728674
2018/6/21,160.53,4655807,50.62,30722957,79.73,1960117,463.16,507118,60.02,1595649,40.18,1640719,107.06,8042896,290.76,775935,69.33,1971826,17.94,2953167,59.83,1422223
2018/6/20,162.56,3649511,52.22,62091071,80.86,2627829,465.5,372787,60.81,1958535,40.07,1685949,93.27,2889695,287.9,587240,69.15,700129,17.84,2756631,57.76,616538
2018/6/19,164.97,3350429,57.43,9965474,81.01,3039538,469.22,554136,60.8,1730948,40.29,3740548,94.61,1790978,287.39,674192,68.84,690816,17.67,2835094,57.94,781535
2018/6/18,166.28,4297727,57.22,9676910,82.81,3137982,468.46,551412,60.97,1957260,40.74,1446926,94.32,1448611,281.73,509465,68.99,928980,17.71,4776746,57.1,1043971
2018/6/15,166.46,7384360,57.11,12408270,82.62,4893090,462.01,544926,59.73,1100522,40.72,2837863,94.1,1904321,277.34,559348,68.53,1075504,17.86,3219856,57.86,3227983
2018/6/14,167.05,2389963,57.02,11049707,83.38,2544148,460.44,493967,60.16,1011710,41.01,1952900,92.19,1681126,273.65,538973,68.47,826155,17.61,2868220,54.86,865364
2018/6/13,166.58,3140508,56.21,8283213,82.59,2177905,457.3,549643,60.18,1604858,41.31,2085439,92.38,924522,273.58,478442,67.97,761372,17.77,2318527,54.42,719840
2018/6/12,166.73,2985260,56.48,8249711,83.23,2039079,466.3,715502,60.41,1424211,42.04,3477424,92.83,1705596,273.2,551101,67.94,830441,17.85,3234634,54.08,832721
2018/6/11,166.49,3246464,56.48,7181724,83.11,2950498,466.64,1128479,59.13,1787051,41.73,2101449,92.31,1157776,269.77,453321,67.08,706487,17.79,3933506,53.36,844093
2018/6/8,168.91,5056578,56.6,8433528,83.18,2824757,453.38,1388187,59.15,1698815,41.7,3164613,91.45,1378873,270.04,671187,67.38,832563,17.72,6062532,54.06,552061
2018/6/7,169.48,8342535,57.14,7919801,84.19,2243067,448.28,509564,60.7,1562620,41.16,1382378,91.4,1257810,272.04,889364,67.02,1062896,17.05,8549267,53.62,897235
